title,href,ingredients
Ice_Cream_Coffee_Float,http://www.kraftfoods.com/kf/recipes/ice-cream-coffee-float-54947.aspx,"coffee, coffee"
Coffee_Ice_Cubes,http://www.kraftfoods.com/kf/recipes/coffee-ice-cubes-57363.aspx,coffee
Ice_Cream_Coffee_Float,http://www.kraftfoods.com/kf/recipes/ice-cream-coffee-float-54947.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"coffee, coffee"
Christmas_Coffee,http://www.recipezaar.com/Christmas-Coffee-115650,coffee
French_Silk_Pie,http://www.eatingwell.com/recipes/french_silk_pie.html,coffee
Mocha_Ice_Pops,http://www.eatingwell.com/recipes/mocha_ice_pops.html,coffee
Chocolate_Hazelnut_Java,http://www.kraftfoods.com/kf/recipes/chocolate-hazelnut-java-63587.aspx,"cocoa powder, coffee"
Shake_Sensation,http://www.kraftfoods.com/kf/recipes/shake-sensation-51076.aspx,"coffee, coffee ice cream"
Iced_Chocolaccino,http://www.kraftfoods.com/kf/recipes/iced-chocolaccino-53225.aspx,"cocoa powder, coffee"
Chocolate_Hazelnut_Java,http://www.kraftfoods.com/kf/recipes/chocolate-hazelnut-java-63587.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"cocoa powder, coffee"
Coffee-Caramel_Sauce,http://www.kraftfoods.com/kf/recipes/coffee-caramel-sauce-56136.aspx,"caramel, coffee"
Shake-Awake_Smoothie,http://www.kraftfoods.com/kf/recipes/shake-awake-smoothie-54943.aspx,"coffee, vanilla ice cream"
MAXWELL_HOUSE_Coffee,http://www.kraftfoods.com/kf/recipes/maxwell-house-coffee-57786.aspx,"coffee, water"
Amarula_Coffee,http://www.recipezaar.com/Amarula-Coffee-285133,"amarula cream liqueur, coffee"
clarified_butter_or_ghee,http://www.recipezaar.com/clarified-butter-or-ghee-71031,"butter, coffee"
Coffee_Foot_Soak,http://www.recipezaar.com/Coffee-Foot-Soak-71087,"coffee, water"
Coffee_Granita,http://www.recipezaar.com/Coffee-Granita-135088,"sugar substitute, coffee"
Death_by_Chocolate,http://allrecipes.com/Recipe/Death-by-Chocolate/Detail.aspx,"milk, coffee"
Iced_Coffee,http://www.recipezaar.com/Iced-Coffee-113064,"coffee, condensed milk"
Sarges_EZ_Pulled_Pork_BBQ,http://allrecipes.com/Recipe/Sarges-EZ-Pulled-Pork-BBQ/Detail.aspx,"coffee, salt"
Mocha_Java_Chiller,http://www.kraftfoods.com/kf/recipes/mocha-java-chiller-64375.aspx,"coffee, milk chocolate, coffee, whipped topping, milk chocolate"
Java_Nuts,http://www.kraftfoods.com/kf/recipes/java-nuts-110147.aspx,"sugar, coffee, nuts"
BAKERS_Chocolate_Fondue,http://www.kraftfoods.com/kf/recipes/bakers-chocolate-fondue-62401.aspx,"condensed milk, coffee, semisweet chocolate"
Cafe_Caramel_Fondue,http://www.kraftfoods.com/kf/recipes/cafe-caramel-fondue-91539.aspx,"caramels, coffee, milk"
Granita_with_Ice_Cream,http://www.kraftfoods.com/kf/recipes/granita-ice-cream-57607.aspx,"coffee, water, vanilla ice cream"
Granita_Di_Caffe,http://www.kraftfoods.com/kf/recipes/granita-di-caffe-54185.aspx,"coffee, sugar, vanilla extract"
Crowning_Glory_Viennese_Cafe,http://www.kraftfoods.com/kf/recipes/crowning-glory-viennese-cafe-54967.aspx,"semisweet chocolate, coffee, cinnamon"
Cocoa_Java,http://www.kraftfoods.com/kf/recipes/cocoa-java-50780.aspx,"cocoa powder, coffee, whipped topping"
Thai_Coffee,http://www.kraftfoods.com/kf/recipes/thai-coffee-51475.aspx,"coffee, condensed milk, water"
Decaffeinated_Caramel_Coffee,http://www.kraftfoods.com/kf/recipes/decaffeinated-caramel-coffee-53483.aspx,"coffee, caramel, water"
Morning_Café,http://www.kraftfoods.com/kf/recipes/morning-cafe-54123.aspx,"coffee, water, milk"
Chocolate_Coffee_Latte,http://www.kraftfoods.com/kf/recipes/chocolate-coffee-latte-54839.aspx,"semisweet chocolate, milk, coffee"
Crowning_Glory_Coffee,http://www.kraftfoods.com/kf/recipes/crowning-glory-coffee-57102.aspx,"cinnamon, whipped topping, coffee"
MAXWELL_HOUSE_Iced_Coffee,http://www.kraftfoods.com/kf/recipes/maxwell-house-iced-coffee-52804.aspx,"coffee, water, ice"
Iced_Coffee_Latte,http://www.kraftfoods.com/kf/recipes/iced-coffee-latte-53354.aspx,"coffee, water, milk"
MAXWELL_HOUSE_Hazelnut_Instant_Iced_Coffee,http://www.kraftfoods.com/kf/recipes/maxwell-house-hazelnut-instant-66052.aspx,"coffee, water, ice"
Morning_Café,http://www.kraftfoods.com/kf/recipes/morning-cafe-54123.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"coffee, water, milk"
Decaffeinated_Caramel_Coffee,http://www.kraftfoods.com/kf/recipes/decaffeinated-caramel-coffee-53483.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"coffee, caramel, water"
Cocoa_Java,http://www.kraftfoods.com/kf/recipes/cocoa-java-50780.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"cocoa powder, coffee, whipped topping"
Thai_Coffee,http://www.kraftfoods.com/kf/recipes/thai-coffee-51475.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"coffee, condensed milk, water"
